zip,percentage,tobacco,alcohol,B02001_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03001_002E,B03001_003E
11103,11.5,35,19,35995,26338,1367,237,5476,119,3820,27310,8685
11104,10.1,24,11,25114,16631,817,138,6433,78,1939,17918,7196
11105,9.3,30,12,36983,29579,1288,293,4750,13,2393,29340,7643
11106,12.6,27,18,37690,21696,3402,411,8441,192,5439,27705,9985
11239,24.8,1,3,12772,3885,7644,272,503,0,624,10428,2344
11354,19.8,30,14,53684,11838,2015,236,35604,49,5696,45684,8000
11355,21.8,21,11,80987,11047,3335,737,59590,115,8017,68461,12526
11356,9.9,10,8,23494,8295,622,108,8051,151,7346,14044,9450
11357,5.3,14,10,39407,27934,524,103,9634,14,2177,33228,6179
11358,9.3,15,10,36515,16051,468,338,17971,0,2793,30608,5907
11360,7.2,3,1,18954,11033,335,23,7153,11,712,16946,2008
11361,8.1,16,9,27201,13406,1336,153,11445,0,1300,23801,3400
11362,6.0,6,5,18343,9438,851,250,7691,0,631,16402,1941
11363,7.0,2,2,7096,4276,138,0,2570,0,293,6195,901
11364,7.4,11,5,36215,15057,1722,346,18680,118,1165,32045,4170
11365,12.2,13,3,44738,16673,5016,403,20467,26,4428,35594,9144
11366,11.5,14,9,14360,6396,932,13,6648,21,779,12759,1601
11367,14.5,13,5,41207,24130,3598,575,12102,112,2682,34190,7017
11368,19.7,70,49,112088,42892,11783,1684,14308,252,44641,26347,85741
11369,15.2,10,8,31481,9024,5904,211,4406,90,13011,12276,19205
11370,11.6,11,5,31580,13819,4730,411,7539,9,5851,19512,12068
11372,12.8,39,25,62854,35921,2332,888,14012,197,11983,26736,36118
11373,13.1,48,23,94437,18465,2466,1032,46904,129,27810,55065,39372
11374,13.7,19,13,43507,25384,2251,712,14987,38,2615,36062,7445
11375,8.4,26,20,73034,46655,3464,384,23184,279,3024,62067,10967
11377,10.8,52,35,83825,41561,3224,869,32648,169,8378,52366,31459
11378,8.7,27,14,38524,28965,1127,418,4148,70,5279,25820,12704
11379,7.5,18,6,37991,30387,701,302,4550,27,3130,30274,7717
11385,10.7,101,60,107796,89663,3827,547,8080,153,8533,59236,48560
11411,4.1,7,8,20719,737,19517,58,102,0,619,19441,1278
11412,8.2,19,8,37857,1282,33939,474,1102,132,1752,35613,2244
11413,6.8,13,10,41650,1284,38617,271,660,63,1386,39273,2377
11414,9.7,11,8,28313,23807,1459,220,1712,9,3076,22149,6164
11415,10.1,9,4,18891,11986,1654,357,3345,34,2281,14143,4748
11416,14.1,13,9,26744,8668,2290,157,9663,51,7937,14694,12050
11417,13.4,27,7,31321,12071,3132,236,10081,192,7383,19572,11749
11418,15.0,28,17,38405,16475,4122,636,10138,152,9276,20699,17706
11419,11.5,26,23,48369,5419,9213,730,18021,674,17612,39260,9109
11420,10.8,20,11,47470,8762,13556,969,17059,546,9804,35598,11872
11421,10.4,17,14,41251,18998,2628,421,8846,29,13407,16896,24355
11422,6.4,8,3,32761,2508,28139,389,1004,157,1465,29190,3571
11423,9.2,13,4,30104,4202,12617,362,9374,0,4994,25991,4113
11426,7.7,4,3,20524,8021,1399,275,9533,11,2159,16432,4092
11427,8.5,6,5,24560,6898,5443,520,9061,123,3765,19776,4784
11428,7.6,13,8,18836,4790,4870,310,5778,306,4966,14093,4743
11429,8.0,8,6,27454,1181,20585,307,1600,229,4427,23648,3806
11430,72.8,11,1,206,34,139,0,6,0,27,138,68
11432,14.8,36,23,64299,13821,11473,978,29035,353,11968,49133,15166
11433,16.4,16,11,37021,1901,24406,260,3841,84,7398,30693,6328
11434,9.5,28,15,64304,2941,56180,485,2547,121,3780,59097,5207
11435,13.5,33,20,59605,11982,15658,867,14832,150,18657,40909,18696
11436,11.2,8,4,19167,1301,12665,299,2114,228,3812,16352,2815
11691,19.4,17,14,68543,26395,33839,525,2585,246,7123,50087,18456
11693,14.3,10,8,12944,8265,3186,133,633,0,1401,9132,3812
11694,11.2,17,15,21202,17621,1437,339,728,0,1338,17985,3217
10301,18.7,26,11,38280,24396,10383,303,2789,74,2229,28822,9458
10302,16.9,11,9,18037,10957,4230,320,1805,40,1277,11017,7020
10303,23.0,15,11,27401,13490,10012,243,2378,38,2320,16595,10806
10304,21.6,27,10,41112,21538,12303,185,4715,48,3082,31459,9653
10305,12.3,25,9,42726,31184,3624,321,6888,18,1756,35904,6822
10306,9.2,24,15,53877,46576,2795,265,4459,0,1739,45476,8401
10307,4.7,6,4,14906,13749,63,94,751,0,396,13412,1494
10308,4.4,9,3,29512,27465,449,27,1504,0,221,26948,2564
10309,6.6,14,10,34058,32039,284,267,1234,0,595,30760,3298
10310,16.4,15,10,23800,14971,5568,231,1547,24,2417,16405,7395
10312,5.9,24,11,61392,56850,777,163,3687,63,540,54431,6961
10314,9.1,37,17,89792,67640,4029,419,16596,170,3426,76088,13704
11209,11.0,49,29,67782,52014,3110,641,9913,168,4816,56206,11576
11217,13.3,35,18,41813,26031,9341,375,4575,53,3629,34789,7024
11216,17.0,34,23,57786,20347,32823,590,3956,21,2969,51305,6481
11221,21.3,51,37,83322,25213,40888,1288,3717,106,15682,55066,28256
11219,35.0,29,12,89371,60258,1359,486,21600,18,6593,77540,11831
11210,11.8,23,10,64665,21122,38758,201,3216,53,2656,60375,4290
11224,28.1,13,10,45795,27467,10754,418,3857,50,4751,37189,8606
11208,25.7,39,34,101313,28735,55664,715,6787,122,11673,60204,41109
11238,11.9,40,34,55210,30225,20339,412,4809,177,2750,49190,6020
11229,13.6,33,26,83119,55312,5667,251,20806,48,3464,73895,9224
11228,12.1,26,12,44348,24718,861,363,16938,57,2485,38838,5510
11212,34.4,41,28,75605,8002,62336,457,1169,119,6120,61087,14518
11237,29.1,53,24,48876,19509,7603,736,3976,177,18850,17822,31054
11235,17.1,30,26,78775,62138,2075,265,13264,61,4027,72736,6039
11231,14.7,26,13,37874,26735,6496,491,3276,325,2515,31576,6298
11222,10.2,42,31,36872,31974,1789,239,2436,15,2252,31201,5671
11230,19.9,33,18,86139,63440,6926,658,13376,76,4418,77341,8798
11203,14.6,34,26,76085,3989,68503,435,1848,0,2655,71200,4885
11232,20.2,26,25,26430,12847,2479,609,5307,70,6470,13235,13195
11226,15.7,48,37,99558,17525,68819,554,4134,35,10831,83230,16328
11215,7.1,50,22,69873,57406,4505,534,8048,104,3479,59393,10480
11218,18.5,47,26,72413,46490,7200,834,15362,95,6123,59968,12445
11220,27.3,48,45,93170,31120,3691,806,39420,29,21061,54659,38511
11211,25.2,75,49,103123,79996,8232,1199,7035,173,10341,78242,24881
11214,16.3,45,25,92644,46865,2299,542,36272,59,9489,76065,16579
11213,22.7,22,18,67056,17949,45129,791,2103,29,3453,59102,7954
11205,27.7,25,22,46843,25482,15596,747,3687,35,3483,38700,8143
11234,7.5,25,11,93534,39745,43158,382,7410,34,4398,83157,10377
11225,17.3,31,19,56859,17343,35935,343,2265,135,2911,51538,5321
11223,18.7,57,29,81388,48796,4320,659,22375,193,7813,69565,11823
11207,28.5,60,37,91083,15028,60949,696,2006,131,14533,62272,28811
11204,20.8,33,19,76395,44736,1133,418,26385,127,5290,67860,8535
11206,34.9,35,37,88422,43675,23760,1096,6729,409,16452,55208,33214
11236,12.5,39,18,100844,6441,87613,249,3585,19,4397,93122,7722
11233,27.1,36,22,79439,9909,62350,512,2017,123,6432,67324,12115
